الجذر,الحرف الأول للجذر,الحرف الثاني للجذر,الحرف الثالث للجذر,الحرف الرابع للجذر,تفعلل,افعنلل,افعللّ
زهنع,ز,ه,ن,ع,ل,,
زهوك,ز,ه,و,ك,ل,,
زورق,ز,و,ر,ق,ل,,
زيأن,ز,ي,أ,ن,,,ل
سأسأ,س,أ,س,أ,ل,,
سبأر,س,ب,أ,ر,,,ل
سبسب,س,ب,س,ب,ل,,
سبطر,س,ب,ط,ر,,,ل
سبغل,س,ب,غ,ل,,,ل
سبكر,س,ب,ك,ر,,,ل
سجهر,س,ج,ه,ر,,,ل
سحسح,س,ح,س,ح,ل,,
سحطر,س,ح,ط,ر,,ل,
سحفر,س,ح,ف,ر,,ل,
سحكك,س,ح,ك,ك,,ل,
سربل,س,ر,ب,ل,ل,,
سردك,س,ر,د,ك,ل,,
سردي,س,ر,د,ي,,م,
سرسر,س,ر,س,ر,ل,,
سرطن,س,ر,ط,ن,ل,,
سرعف,س,ر,ع,ف,ل,,
سرمط,س,ر,م,ط,ل,,
سرول,س,ر,و,ل,ل,,
سعبب,س,ع,ب,ب,ل,,
سعسع,س,ع,س,ع,ل,,
سغبل,س,غ,ب,ل,ل,,
سغسغ,س,غ,س,غ,ل,,
سفسف,س,ف,س,ف,ل,,
سكسك,س,ك,س,ك,ل,,
سلحب,س,ل,ح,ب,,,ل
سلحد,س,ل,ح,د,,,ل
سلسل,س,ل,س,ل,ل,,
سلطأ,س,ل,ط,أ,,ل,
سلطح,س,ل,ط,ح,,ل,
سلطع,س,ل,ط,ع,,ل,
سلطن,س,ل,ط,ن,ل,,
سلغب,س,ل,غ,ب,,,ل
سلقع,س,ل,ق,ع,,ل,
سلقي,س,ل,ق,ي,ل,ل,
سلهب,س,ل,ه,ب,,,ل
سلهم,س,ل,ه,م,,,ل
سمأد,س,م,أ,د,,,ل
سمأل,س,م,أ,ل,,,ل
سمدر,س,م,د,ر,,,ل
سمعد,س,م,ع,د,,,ل
سمعط,س,م,ع,ط,,,ل
سمغد,س,م,غ,د,,,ل
سمهد,س,م,ه,د,,,ل
سمهر,س,م,ه,ر,,,ل
سهوك,س,ه,و,ك,ل,,
سيطر,س,ي,ط,ر,ل,,
شأشأ,ش,أ,ش,أ,ل,,
شحأن,ش,ح,أ,ن,,,ل
شرأب,ش,ر,أ,ب,,,ل
شرحف,ش,ر,ح,ف,ل,,ل
شرذم,ش,ر,ذ,م,ل,,
شرنق,ش,ر,ن,ق,ل,,
شعأل,ش,ع,أ,ل,,,ل
شعشع,ش,ع,ش,ع,ل,,
شغبر,ش,غ,ب,ر,ل,,
شغزب,ش,غ,ز,ب,ل,,
شفتر,ش,ف,ت,ر,,,ل
شفشف,ش,ف,ش,ف,ل,,
شلشل,ش,ل,ش,ل,ل,,
شمأز,ش,م,أ,ز,,,ك
شمخر,ش,م,خ,ر,,,ل
شمعد,ش,م,ع,د,,,ل
شمعط,ش,م,ع,ط,,,ل
شمعل,ش,م,ع,ل,,,ل
شمهل,ش,م,ه,ل,,,ل
شهجب,ش,ه,ج,ب,ل,,
شيطن,ش,ي,ط,ن,ل,,
شيظم,ش,ي,ظ,م,ل,,
صأصأ,ص,أ,ص,أ,ل,,
صبصب,ص,ب,ص,ب,ك,,
صتقر,ص,ت,ق,ر,,,ل
صرأب,ص,ر,أ,ب,,,ل
صطقر,ص,ط,ق,ر,,,ل
صعرر,ص,ع,ر,ر,ل,ل,ل
صعصع,ص,ع,ص,ع,ل,,
صعفر,ص,ع,ف,ر,ل,ل,
صعلك,ص,ع,ل,ك,ل,,
صفتت,ص,ف,ت,ت,ل,,
صقعر,ص,ق,ع,ر,,,ل
صلخد,ص,ل,خ,د,,,ل
صلخم,ص,ل,خ,م,,,ل
صلصل,ص,ل,ص,ل,ل,,
صلطح,ص,ل,ط,ح,,ل,
صلهب,ص,ل,ه,ب,,,ل
صلهم,ص,ل,ه,م,,,ل
صمأك,ص,م,أ,ك,,,ل
صمأل,ص,م,أ,ل,,,ل
صمخد,ص,م,خ,د,,,ل
صمعد,ص,م,ع,د,,,ل
صمقر,ص,م,ق,ر,,,ل
صمهل,ص,م,ه,ل,,,ل
صندل,ص,ن,د,ل,ل,,
صهمم,ص,ه,م,م,ل,,
صيطر,ص,ي,ط,ر,ل,,
ضجحر,ض,ج,ح,ر,,,ل
ضحضح,ض,ح,ض,ح,ل,,
ضرغط,ض,ر,غ,ط,,,ل
ضرغم,ض,ر,غ,م,ل,,
ضرفط,ض,ر,ف,ط,ل,,
ضرهز,ض,ر,ه,ز,,,ل
ضعضع,ض,ع,ض,ع,ل,,
ضفأد,ض,ف,أ,د,,,ل
ضكضك,ض,ك,ض,ك,ل,,
ضمأك,ض,م,أ,ك,,,ل
ضمحل,ض,م,ح,ل,,,ل
ضمحن,ض,م,ح,ن,,,ل
ضوكع,ض,و,ك,ع,ل,,
ضيزن,ض,ي,ز,ن,ل,,
طأطأ,ط,أ,ط,أ,ل,,
طبطب,ط,ب,ط,ب,ل,,
طحطح,ط,ح,ط,ح,ل,,
طخطخ,ط,خ,ط,خ,ل,,
طرثث,ط,ر,ث,ث,ل,,
طرخم,ط,ر,خ,م,,,ل
طرغش,ط,ر,غ,ش,,,ل
طرغم,ط,ر,غ,م,,,ل
طرفس,ط,ر,ف,س,,,ل
طرفش,ط,ر,ف,ش,ل,,
طرمس,ط,ر,م,س,,,ل
طرهم,ط,ر,ه,م,,,ل
طريم,ط,ر,ي,م,ل,,
طفأن,ط,ف,أ,ن,,,ل
طلحب,ط,ل,ح,ب,,,ل
طلخم,ط,ل,خ,م,,,ل
طلفأ,ط,ل,ف,أ,,ل,
طلمس,ط,ل,م,س,ل,,ل
طليس,ط,ل,ي,س,ل,,
طمأن,ط,م,أ,ن,ل,,ل
طمحر,ط,م,ح,ر,,,ل
طنثر,ط,ن,ث,ر,ل,,
طهلس,ط,ه,ل,س,ل,,
طهمل,ط,ه,م,ل,ل,,
طيلس,ط,ي,ل,س,ل,,
